"scientificName","latitude","longitude","date","effort_distance_km","run","event_id"
"Calypte anna",50.0391435,-125.2143574,2016-01-02,0.2,150,318
"Calypte anna",38.1844298,-122.280474,2017-12-03,0.161,150,319
"Calypte anna",34.9582,-120.6284,2013-02-13,0.241,150,320
"Calypte anna",38.2066107,-122.3751543,2017-03-25,0.161,150,321
"Calypte anna",36.4183133,-120.3745468,2013-04-28,0.161,150,322
"Calypte anna",37.294092,-121.945833,2015-02-05,0.161,150,323
"Calypte anna",33.2441433,-116.3544846,2013-03-24,0.161,150,324
"Calypte anna",33.5299477,-111.6547394,2014-04-10,0.161,150,325
"Calypte anna",36.79454,-121.785297,2016-10-08,0.241,150,326
"Calypte anna",39.0294107,-121.055029,2016-11-26,0.241,150,327
"Calypte anna",45.464258,-122.70266,2013-02-16,0.161,150,328
"Calypte anna",34.2867813,-119.1748193,2015-10-26,0.161,150,329
"Calypte anna",39.538908,-122.166011,2014-08-08,0.161,150,330
"Calypte anna",34.1036674,-118.7138844,2013-09-29,0.161,150,331
"Calypte anna",33.1379824,-116.3758135,2014-01-04,0.161,150,332
"Calypte anna",37.0108599,-122.122618,2014-02-12,0.241,150,333
"Calypte anna",37.607789,-122.362889,2013-05-02,0.161,150,334
"Calypte anna",48.7823553,-123.6842936,2014-03-22,0.2,150,335
"Calypte anna",32.6871,-117.24357,2013-03-16,0.161,150,336
"Calypte anna",37.0032008,-122.1401644,2013-01-16,0.161,150,337
"Calypte anna",33.4390696,-111.6313827,2017-12-25,0.161,150,338
"Calypte anna",38.280453,-122.285002,2015-06-30,0.161,150,339
"Calypte anna",47.8712548,-122.091448,2017-01-14,0.161,150,340
"Calypte anna",47.1844918,-122.4891365,2017-05-20,0.161,150,341
"Calypte anna",34.6217575,-120.421808,2017-01-27,0.161,150,342
"Calypte anna",33.1089543,-117.2559179,2016-12-30,0.161,150,343
"Calypte anna",45.506377,-123.0872154,2014-06-14,0.161,150,344
"Calypte anna",45.513053,-123.113674,2014-12-21,0.161,150,345
"Calypte anna",34.0152323,-116.9933984,2017-06-20,0.161,150,346
"Calypte anna",34.1564914,-118.2971764,2014-05-12,0.161,150,347
"Calypte anna",34.237619,-117.080229,2016-04-29,0.161,150,348
"Calypte anna",33.480542,-119.029616,2016-10-19,0.241,150,349
"Calypte anna",32.2393758,-110.8993649,2014-12-06,0.161,150,350
"Calypte anna",47.546031,-121.995564,2017-09-30,0.161,150,351
"Calypte anna",39.3315197,-120.577116,2017-08-01,0.161,150,352
"Calypte anna",38.8097926,-120.9451067,2016-03-19,0.161,150,353
"Calypte anna",38.3139614,-122.6791978,2015-01-26,0.161,150,354
"Calypte anna",47.813862,-122.300623,2017-02-12,0.241,150,355
"Calypte anna",48.119668,-123.190209,2017-02-18,0.201,150,356
"Calypte anna",37.75898,-122.389317,2017-03-09,0.161,150,357
"Calypte anna",39.0235571,-122.9208675,2016-04-25,0.241,150,358
"Calypte anna",48.640358,-123.419619,2015-10-09,0.2,150,359
"Calypte anna",38.280856,-122.616374,2014-04-02,0.161,150,360
"Calypte anna",35.29284,-120.67448,2014-04-02,0.161,150,361
"Calypte anna",37.3988222,-122.0744911,2017-10-23,0.161,150,362
"Calypte anna",39.159167,-122.161164,2017-01-15,0.161,150,363
"Calypte anna",42.2104578,-122.7070069,2016-01-02,0.161,150,364
"Calypte anna",37.428878,-121.979103,2017-02-16,0.161,150,365
"Calypte anna",49.696159,-124.8663139,2016-05-02,0.2,150,366
"Calypte anna",45.6334787,-122.4998546,2015-03-23,0.161,150,367
"Calypte anna",41.1738087,-121.3579845,2014-05-18,0.161,150,368
"Calypte anna",44.6968284,-123.9470369,2015-11-23,0.161,150,369
"Calypte anna",32.2906517,-110.7730865,2013-09-26,0.161,150,370
"Calypte anna",33.661772,-112.404849,2014-01-08,0.161,150,371
"Calypte anna",32.7688737,-117.2528022,2013-12-21,0.161,150,372
"Calypte anna",38.5618306,-121.4148132,2015-12-08,0.161,150,373
